"Table_Number","Year","Measure","Age","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"3A.14","2020","ECEC participation","0 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","8175","6912","7331","2746","1660","642","642","321","","","28389"
"3A.14","2020","ECEC participation","1 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","1 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","40406","34105","29273","12597","8010","2531","3129","1240","","","130984"
"3A.14","2020","ECEC participation","2 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","2 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","58338","45433","38498","17278","10643","3212","3887","1575","","","178405"
"3A.14","2020","ECEC participation","3 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","3 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","68837","51202","44031","18828","12097","3761","4461","1655","","","204448"
"3A.14","2020","ECEC participation","4 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","4 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","64819","45515","42045","14566","11093","3149","4025","1390","","","186220"
"3A.14","2020","ECEC participation","5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","41253","29747","29445","9999","7745","2247","3034","985","","","124229"
"3A.14","2020","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","281828","212914","190623","76014","51248","15542","19178","7166","","","852675"
"3A.14","2020","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","147610","108244","112050","35307","36915","8027","13157","3600","","","464397"
"3A.14","2020","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","429438","321158","302673","111321","88163","23569","32335","10766","","","1317072"
"3A.14","2020","ECEC participation","0 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","8.3","8.9","12.1","8.3","8.6","11.2","11.7","9.5","","","9.3"
"3A.14","2020","ECEC participation","1 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","1 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","41.1","43.7","47.7","37.6","41.8","45.2","57.8","35.3","","","43.0"
"3A.14","2020","ECEC participation","2 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","2 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","59.5","56.8","61.4","50.1","54.8","56.4","70.7","44.7","","","57.6"
"3A.14","2020","ECEC participation","3 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","3 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","68.0","61.4","68.2","53.0","58.9","61.9","77.6","45.5","","","63.8"
"3A.14","2020","ECEC participation","4 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","4 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","63.2","53.4","63.9","40.9","52.7","50.3","68.4","38.4","","","57.1"
"3A.14","2020","ECEC participation","5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","40.6","35.5","44.3","28.6","37.1","36.1","52.2","28.2","","","38.4"
"3A.14","2020","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","46.9","43.6","50.0","36.7","42.6","43.6","56.6","33.8","","","45.1"
"3A.14","2020","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","20.7","19.0","23.3","14.6","24.8","17.6","34.2","14.6","","","20.5"
"3A.14","2020","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","32.7","30.3","35.1","24.8","32.8","29.0","44.7","23.5","","","31.7"
"3A.14","2019","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","282446","208154","189943","72977","51125","15479","19167","7131","","","844272"
"3A.14","2019","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","148665","108050","109666","33645","36094","7951","12581","3594","","","459730"
"3A.14","2019","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","431111","316204","299609","106622","87219","23430","31748","10725","","","1304002"
"3A.14","2019","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","46.3","42.5","49.6","35.3","42.3","43.3","55.9","32.7","","","44.4"
"3A.14","2019","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","21.1","19.3","23.1","14.1","24.5","17.4","33.5","14.4","","","20.6"
"3A.14","2019","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","32.8","30.1","34.9","23.9","32.5","28.8","44.2","22.9","","","31.5"
"3A.14","2018","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","279358","203558","185527","69031","49210","15167","18514","6640","","","825432"
"3A.14","2018","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","148548","113643","105732","32189","35204","7853","11556","3436","","","457853"
"3A.14","2018","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","427906","317201","291259","101220","84414","23020","30070","10076","","","1283285"
"3A.14","2018","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","46.8","41.6","48.5","33.3","40.3","42.2","54.1","29.5","","","43.6"
"3A.14","2018","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","21.4","20.9","22.7","13.7","24.3","17.3","31.9","13.9","","","20.9"
"3A.14","2018","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","33.1","30.7","34.3","22.8","31.6","28.3","42.7","21.3","","","31.4"
"3A.14","2017","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","278625","199010","182347","67029","49343","15202","17980","6418","","","813901"
"3A.14","2017","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","145957","113417","101437","30715","34461","7744","10722","3285","","","447140"
"3A.14","2017","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","424582","312427","283784","97744","83804","22946","28702","9703","","","1261041"
"3A.14","2017","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","46.6","41.3","47.7","32.4","40.0","42.0","54.1","28.0","","","43.2"
"3A.14","2017","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","21.4","21.4","22.2","13.3","24.1","17.2","30.7","13.5","","","20.8"
"3A.14","2017","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","33.2","30.9","33.8","22.3","31.5","28.2","42.1","20.5","","","31.3"
"3A.14","2016","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","273146","189481","180557","64769","49487","14963","17301","6209","","","793568"
"3A.14","2016","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","137720","106587","99554","28961","34239","7434","10245","3134","","","426981"
"3A.14","2016","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","410866","296068","280111","93730","83726","22397","27546","9343","","","1220549"
"3A.14","2016","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","45.7","40.1","47.3","31.4","40.1","41.2","52.4","27.1","","","42.3"
"3A.14","2016","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","20.7","20.7","22.3","12.8","24.3","16.7","30.7","13.0","","","20.4"
"3A.14","2016","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","32.5","30.0","33.9","21.6","31.7","27.7","41.5","19.9","","","30.7"
"3A.14","2015","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","268539","187947","178878","63921","49140","15243","16706","6081","","","781426"
"3A.14","2015","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","128628","106429","92856","28731","33829","7292","9439","2988","","","406792"
"3A.14","2015","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","397167","294376","271734","92652","82969","22535","26145","9069","","","1188218"
"3A.14","2015","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","45.3","40.7","46.7","31.2","39.9","41.3","51.5","26.7","","","42.0"
"3A.14","2015","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","19.7","21.4","21.3","12.9","24.4","16.6","29.3","12.5","","","19.9"
"3A.14","2015","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","31.9","30.7","33.2","21.7","31.7","27.8","40.5","19.5","","","30.4"
"3A.14","2014","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","254294","176581","177112","60134","48115","15360","15421","5826","","","749408"
"3A.14","2014","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","108222","92133","88219","24950","32064","7144","8296","2805","","","362123"
"3A.14","2014","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","362516","268714","265331","85084","80179","22504","23717","8631","","","1111531"
"3A.14","2014","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","43.3","39.1","46.4","29.7","39.6","40.8","48.8","25.4","","","40.8"
"3A.14","2014","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","16.9","19.0","20.6","11.4","23.5","16.4","26.5","11.7","","","18.0"
"3A.14","2014","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","29.5","28.7","32.8","20.2","31.1","27.7","37.7","18.4","","","28.9"
"3A.14","2013","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","241230","162270","171151","57739","46703","15383","14389","5681","","","712545"
"3A.14","2013","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","92436","78518","80326","22655","30375","6997","7414","2601","","","320669"
"3A.14","2013","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","333666","240788","251477","80394","77078","22380","21803","8282","","","1033214"
"3A.14","2013","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","41.5","36.9","45.3","29.2","38.8","40.5","47.0","25.1","","","39.4"
"3A.14","2013","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","14.7","16.6","19.1","10.6","22.5","16.0","24.2","10.8","","","16.3"
"3A.14","2013","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","27.5","26.4","31.5","19.5","30.2","27.4","35.6","17.7","","","27.3"
"3A.14","2012","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","229337","151589","164967","53814","44130","15456","13045","5409","","","676280"
"3A.14","2012","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","83199","70594","75290","19587","28349","7150","6816","2696","","","293511"
"3A.14","2012","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","312534","222182","240255","73401","72479","22606","19861","8105","","","969786"
"3A.14","2012","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","40.2","35.5","44.7","28.3","37.4","40.4","44.3","24.4","","","38.3"
"3A.14","2012","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","13.3","15.2","18.3","9.4","21.1","16.2","22.7","11.2","","","15.1"
"3A.14","2012","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","26.2","24.9","30.8","18.4","28.7","27.5","33.4","17.6","","","26.2"
"3A.14","2011","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","0-5 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","227598","148637","165538","52493","44155","16010","13151","5422","","","671455"
"3A.14","2011","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","6-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","76184","65778","70547","17552","28237","7238","6264","2545","","","274079"
"3A.14","2011","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","303782","214415","236085","70045","72392","23248","19415","7967","","","945534"
"3A.14","2011","ECEC participation","0-5 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-5 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","40.3","35.5","45.6","28.5","37.9","41.6","46.2","24.5","","","38.7"
"3A.14","2011","ECEC participation","6-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","6-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","12.3","14.4","17.4","8.6","21.1","16.3","21.3","10.6","","","14.3"
"3A.14","2011","ECEC participation","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","0-12 years old","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System; ABS Quarterly Population Estimates (ERP)","%","25.6","24.5","30.7","18.0","28.9","28.0","33.5","17.3","","","25.9"
"3A.15","2020","Children using child care","All ages","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","Centre based care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","256943","196393","181821","68166","45981","13074","17501","6440","","","784967"
"3A.15","2020","Children using child care","All ages","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","Family day care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","36184","31884","21332","9827","3614","3305","1015","305","","","107406"
"3A.15","2020","Children using child care","All ages","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","OSHC","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","155000","106856","113622","41617","42550","9007","15501","4557","","","488343"
"3A.15","2020","Children using child care","All ages","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","In home care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","np","np","np","np","np","np","np","np","","","2293"
"3A.15","2020","Children using child care","0-12 years old","All people","All areas","","Children attending Australian Government CCS approved child care services","Number of children","All children 0-12 years old","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","no.","429438","321158","302673","111321","88163","23569","32335","10766","","","1317072"
"3A.15","2020","Children using child care","All ages","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","Centre based care","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","%","59.8","61.2","60.1","61.2","52.2","55.5","54.1","59.8","","","59.6"
"3A.15","2020","Children using child care","All ages","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","Family day care","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","%","8.4","9.9","7.0","8.8","4.1","14.0","3.1","2.8","","","8.2"
"3A.15","2020","Children using child care","All ages","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","OSHC","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","%","36.1","33.3","37.5","37.4","48.3","38.2","47.9","42.3","","","37.1"
"3A.15","2020","Children using child care","All ages","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","In home care","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","%","np","np","np","np","np","np","np","np","","","0.2"
"3A.15","2020","Children using child care","All ages","All people","All areas","","Children attending Australian Government CCS approved child care services","Proportion of children","All service types","","","","","Derived from Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","%","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","","100.0"
"3A.16","2020","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","Centre based care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","30.4","30.0","31.7","26.1","26.7","24.4","31.5","36.4","","","30.0"
"3A.16","2020","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","Family day care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","22.9","24.9","23.8","23.6","19.8","15.2","24.0","28.3","","","23.4"
"3A.16","2020","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","OSHC","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","11.3","8.5","11.4","9.6","8.4","8.0","10.0","12.6","","","10.3"
"3A.16","2020","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","In home care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","np","np","np","np","np","np","np","np","","","25.8"
"3A.16","2019","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","Centre based care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","30.0","29.6","31.4","25.9","26.3","24.2","31.1","36.1","","","29.7"
"3A.16","2019","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","Family day care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","25.0","25.0","23.8","23.5","19.1","14.9","26.5","29.0","","","24.2"
"3A.16","2019","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","OSHC","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","11.1","8.4","11.2","9.6","8.3","8.0","9.9","12.8","","","10.1"
"3A.16","2019","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","In home care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","np","np","np","np","np","np","np","np","","","26.8"
"3A.16","2018","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","Long day care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","28.4","28.5","31.3","25.1","26.0","23.7","29.0","34.5","","","28.7"
"3A.16","2018","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","Family day care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","27.2","30.1","24.9","25.1","19.8","14.4","27.3","26.6","","","27.2"
"3A.16","2018","Children using child care","0-12 years old","All people","All areas","","Average hours of attendance per week of children aged 0-12 years old at Australian Government CCS approved child care services; by service type","By service type","Vacation care","","","","","Australian Government Department of Education Skills and Employment (unpublished) Child Care Subsidy System","hr/week","27.8","26.2","29.9","27.0","25.5","24.6","28.6","37.2","","","27.9"
